log10c0,omega,deltaE,gtype,h,id
-3,[0;9.387656991584425e-06],[0;0.05],linear,NaN,371
-3,[0;9.387656991584425e-06],[0;0.05],hill,1,372
-3,[0;9.533364013940362e-06],[0;0.05],linear,NaN,373
-3,[0;9.533364013940362e-06],[0;0.05],hill,1,374
-3,[0;9.68133257358754e-06],[0;0.05],linear,NaN,375
-3,[0;9.68133257358754e-06],[0;0.05],hill,1,376
-3,[0;9.831597772134883e-06],[0;0.05],linear,NaN,377
-3,[0;9.831597772134883e-06],[0;0.05],hill,1,378
-3,[0;9.984195256007914e-06],[0;0.05],linear,NaN,379
-3,[0;9.984195256007914e-06],[0;0.05],hill,1,380
-3,[0;1.013916122490487e-05],[0;0.05],linear,NaN,381
-3,[0;1.013916122490487e-05],[0;0.05],hill,1,382
-3,[0;1.029653244038409e-05],[0;0.05],linear,NaN,383
-3,[0;1.029653244038409e-05],[0;0.05],hill,1,384
-3,[0;1.045634623458476e-05],[0;0.05],linear,NaN,385
-3,[0;1.045634623458476e-05],[0;0.05],hill,1,386
-3,[0;1.061864051908297e-05],[0;0.05],linear,NaN,387
-3,[0;1.061864051908297e-05],[0;0.05],hill,1,388
-3,[0;1.078345379388526e-05],[0;0.05],linear,NaN,389
-3,[0;1.078345379388526e-05],[0;0.05],hill,1,390
-3,[0;1.095082515656164e-05],[0;0.05],linear,NaN,391
-3,[0;1.095082515656164e-05],[0;0.05],hill,1,392
-3,[0;1.112079431152046e-05],[0;0.05],linear,NaN,393
-3,[0;1.112079431152046e-05],[0;0.05],hill,1,394
-3,[0;1.129340157942733e-05],[0;0.05],linear,NaN,395
-3,[0;1.129340157942733e-05],[0;0.05],hill,1,396
-3,[0;1.146868790677007e-05],[0;0.05],linear,NaN,397
-3,[0;1.146868790677007e-05],[0;0.05],hill,1,398
-3,[0;1.164669487557209e-05],[0;0.05],linear,NaN,399
-3,[0;1.164669487557209e-05],[0;0.05],hill,1,400
-3,[0;1.18274647132567e-05],[0;0.05],linear,NaN,401
-3,[0;1.18274647132567e-05],[0;0.05],hill,1,402
-3,[0;1.20110403026645e-05],[0;0.05],linear,NaN,403
-3,[0;1.20110403026645e-05],[0;0.05],hill,1,404
-3,[0;1.21974651922261e-05],[0;0.05],linear,NaN,405
-3,[0;1.21974651922261e-05],[0;0.05],hill,1,406
-3,[0;1.238678360629286e-05],[0;0.05],linear,NaN,407
-3,[0;1.238678360629286e-05],[0;0.05],hill,1,408
-3,[0;1.257904045562789e-05],[0;0.05],linear,NaN,409
-3,[0;1.257904045562789e-05],[0;0.05],hill,1,410
-3,[0;1.277428134806008e-05],[0;0.05],linear,NaN,411
-3,[0;1.277428134806008e-05],[0;0.05],hill,1,412
-3,[0;1.297255259930321e-05],[0;0.05],linear,NaN,413
-3,[0;1.297255259930321e-05],[0;0.05],hill,1,414
-3,[0;1.317390124394316e-05],[0;0.05],linear,NaN,415
-3,[0;1.317390124394316e-05],[0;0.05],hill,1,416
-3,[0;1.337837504659558e-05],[0;0.05],linear,NaN,417
-3,[0;1.337837504659558e-05],[0;0.05],hill,1,418
-3,[0;1.35860225132369e-05],[0;0.05],linear,NaN,419
-3,[0;1.35860225132369e-05],[0;0.05],hill,1,420
-3,[0;1.379689290271098e-05],[0;0.05],linear,NaN,421
-3,[0;1.379689290271098e-05],[0;0.05],hill,1,422
-3,[0;1.401103623841444e-05],[0;0.05],linear,NaN,423
-3,[0;1.401103623841444e-05],[0;0.05],hill,1,424
-3,[0;1.422850332016341e-05],[0;0.05],linear,NaN,425
-3,[0;1.422850332016341e-05],[0;0.05],hill,1,426
-3,[0;1.444934573624453e-05],[0;0.05],linear,NaN,427
-3,[0;1.444934573624453e-05],[0;0.05],hill,1,428
-3,[0;1.46736158756528e-05],[0;0.05],linear,NaN,429
-3,[0;1.46736158756528e-05],[0;0.05],hill,1,430
-3,[0;1.490136694051945e-05],[0;0.05],linear,NaN,431
-3,[0;1.490136694051945e-05],[0;0.05],hill,1,432
-3,[0;1.513265295873277e-05],[0;0.05],linear,NaN,433
-3,[0;1.513265295873277e-05],[0;0.05],hill,1,434
