log10c0,omega,deltaE,gtype,h,id,final_rho,n_batches,end_S,end_NutIntegrals
-1.73684210526316,[0;0.001067539367108856],[0;1],hill,1,5620,[1.54547086439115e-05;0.646335257295424],2521,0.000278348760109755,0.0140399821756143
-1.73684210526316,[0;0.001084108781880679],[0;1],linear,NaN,5621,[1.56583419584454e-05;0.642791753090366],2564,0.00028311808266086,0.0141069791163726
-1.73684210526316,[0;0.001084108781880679],[0;1],hill,1,5622,[1.56634372805762e-05;0.642794618386055],2564,0.000283201127199261,0.0141166797157987
-1.73684210526316,[0;0.001100935372654005],[0;1],linear,NaN,5623,[1.58309839485777e-05;0.639235071668664],2610,0.000287423171806753,0.0141846555027548
-1.73684210526316,[0;0.001100935372654005],[0;1],hill,1,5624,[1.58363775590492e-05;0.639238227159213],2610,0.000287511358691855,0.0141945755435545
-1.73684210526316,[0;0.001118023131090379],[0;1],linear,NaN,5625,[1.61074643860074e-05;0.635662920081818],2657,0.000293505410266753,0.0142635353849747
-1.73684210526316,[0;0.001118023131090379],[0;1],hill,1,5626,[1.60498882194689e-05;0.635666350564971],2658,0.000292545269610594,0.0142736895379021
-1.73684210526316,[0;0.001135376110806432],[0;1],linear,NaN,5627,[1.63107840713354e-05;0.632075716188688],2708,0.000298427141325563,0.0143436376118346
-1.73684210526316,[0;0.001135376110806432],[0;1],hill,1,5628,[1.63168941351878e-05;0.632079299394182],2708,0.000298527715995548,0.0143540418455306
-1.73684210526316,[0;0.001152998428335498],[0;1],linear,NaN,5629,[1.6582552392301e-05;0.628473700067124],2761,0.000304551438062224,0.0144249818829567
-1.73684210526316,[0;0.001152998428335498],[0;1],hill,1,5630,[1.65890789436495e-05;0.628477426171836],2761,0.000304659263948348,0.014435652906483
-1.73684210526316,[0;0.00117089426410415],[0;1],linear,NaN,5631,[1.68761176006319e-05;0.624857226970186],2817,0.000311106864043938,0.0145075878382358
-1.73684210526316,[0;0.00117089426410415],[0;1],hill,1,5632,[1.68208469147689e-05;0.624861087841796],2818,0.000310174545267741,0.0145185435995622
-1.73684210526316,[0;0.001189067863423894],[0;1],linear,NaN,5633,[1.71477865849818e-05;0.621226656337436],2877,0.000317360625205357,0.0145914754103084
-1.73684210526316,[0;0.001189067863423894],[0;1],hill,1,5634,[1.71552737901528e-05;0.621230540054567],2877,0.000317485323384793,0.0146027355595376
-1.73684210526316,[0;0.001207523537498259],[0;1],linear,NaN,5635,[1.74803635528976e-05;0.617582281850003],2940,0.00032471439527379,0.014676665027445
-1.73684210526316,[0;0.001207523537498259],[0;1],hill,1,5636,[1.74261880489511e-05;0.61758929999039],2941,0.000323792285441125,0.0146875117447591
-1.73684210526316,[0;0.001226265664445515],[0;1],linear,NaN,5637,[1.77736409259502e-05;0.613924507220214],3008,0.000331475556656484,0.0147631771028909
-1.73684210526316,[0;0.001226265664445515],[0;1],hill,1,5638,[1.77809518602266e-05;0.613931564583519],3008,0.000331596511176949,0.0147743764267962
-1.73684210526316,[0;0.001245298690337262],[0;1],linear,NaN,5639,[1.8115390491138e-05;0.610253635778074],3080,0.000339137793613305,0.0148510326452472
-1.73684210526316,[0;0.001245298690337262],[0;1],hill,1,5640,[1.81231850273104e-05;0.610260799742544],3080,0.000339267301774317,0.014862608073701
-1.73684210526316,[0;0.001264627130253147],[0;1],linear,NaN,5641,[1.85344013020121e-05;0.606570689841822],3156,0.000348204927698796,0.014940236555697
-1.73684210526316,[0;0.001264627130253147],[0;1],hill,1,5642,[1.85401982781816e-05;0.606579168562931],3156,0.000348299832663236,0.0149634054488926
-1.73684210526316,[0;0.001284255569351944],[0;1],linear,NaN,5643,[1.8942244404992e-05;0.602873794200161],3238,0.000357173039143592,0.0150308679333614
-1.73684210526316,[0;0.001284255569351944],[0;1],hill,1,5644,[1.89502205527369e-05;0.602875909616333],3238,0.000357309056048671,0.0150380925955307
-1.73684210526316,[0;0.00130418866395926],[0;1],linear,NaN,5645,[1.93774141919807e-05;0.59916505194383],3326,0.000366705761506356,0.0151229015165377
-1.73684210526316,[0;0.00130418866395926],[0;1],hill,1,5646,[1.9386537358596e-05;0.599167731421378],3326,0.000366861681110023,0.0151303783100136
-1.73684210526316,[0;0.001324431142672129],[0;1],linear,NaN,5647,[1.98829873547308e-05;0.595444807139293],3420,0.000377555950472765,0.015216360006871
-1.73684210526316,[0;0.001324431142672129],[0;1],hill,1,5648,[1.98938629446402e-05;0.595448050141373],3420,0.000377742314980886,0.0152237242913152
-1.73684210526316,[0;0.00134498780748074],[0;1],linear,NaN,5649,[2.03897360108951e-05;0.59171347147148],3522,0.000388535883890856,0.0153112662522335
-1.73684210526316,[0;0.00134498780748074],[0;1],hill,1,5650,[2.0402397002756e-05;0.591717128121709],3522,0.00038875354469225,0.0153189377059729
-1.73684210526316,[0;0.001365863534907586],[0;1],linear,NaN,5651,[2.09555463498692e-05;0.587971391827022],3632,0.000400657015004175,0.0154076435827723
-1.73684210526316,[0;0.001365863534907586],[0;1],hill,1,5652,[2.09697419008739e-05;0.587975473483135],3632,0.000400901729914972,0.0154156517116641
-1.73684210526316,[0;0.001387063277164289],[0;1],linear,NaN,5653,[2.15883642560326e-05;0.584218948112777],3751,0.000414070798159445,0.0155055155644083
-1.73684210526316,[0;0.001387063277164289],[0;1],hill,1,5654,[2.15879053205878e-05;0.584228954955441],3751,0.00041405632243231,0.0155208020653047
-1.73684210526316,[0;0.001408592063326379],[0;1],linear,NaN,5655,[2.22499197441291e-05;0.580456550535707],3881,0.000428120610091856,0.01560490601672
-1.73684210526316,[0;0.001408592063326379],[0;1],hill,1,5656,[2.22567063310441e-05;0.580454009884923],3881,0.000428241202420705,0.015624963654607
-1.73684210526316,[0;0.001430455000526307],[0;1],linear,NaN,5657,[2.30325562576951e-05;0.576684543391366],4022,0.000444436707047976,0.0157058392311759
-1.73684210526316,[0;0.001430455000526307],[0;1],hill,1,5658,[2.29825783758615e-05;0.576680261481073],4023,0.000443561933517754,0.0157273085337804
-1.73684210526316,[0;0.001452657275164982],[0;1],linear,NaN,5659,[2.38156188922726e-05;0.572903391316272],4178,0.000460915781581955,0.0158083395595716
-1.73684210526316,[0;0.001452657275164982],[0;1],hill,1,5660,[2.38154227069835e-05;0.572914174220033],4178,0.000460904435077669,0.0158225377746441
-1.73684210526316,[0;0.001475204154142102],[0;1],linear,NaN,5661,[2.47313071546248e-05;0.569113427091613],4349,0.000479896278557904,0.0159124319676702
-1.73684210526316,[0;0.001475204154142102],[0;1],hill,1,5662,[2.47325164308961e-05;0.569109072002475],4349,0.000479920957922321,0.0159362999676452
-1.73684210526316,[0;0.001498100986105586],[0;1],linear,NaN,5663,[2.5767629936819e-05;0.565315066225366],4538,0.000501187832326436,0.016018141568895
-1.73684210526316,[0;0.001498100986105586],[0;1],hill,1,5664,[2.57770877367183e-05;0.565309257772969],4538,0.00050135973142938,0.0160398887324014
-1.73684210526316,[0;0.001521353202720403],[0;1],linear,NaN,5665,[2.68933953834004e-05;0.56150884287836],4749,0.000524257377109337,0.0161254917994193
-1.73684210526316,[0;0.001521353202720403],[0;1],hill,1,5666,[2.6892775605024e-05;0.561522604741107],4749,0.000524234725476037,0.0161425937809868
-1.73684210526316,[0;0.001544966319957086],[0;1],linear,NaN,5667,[2.81812199451854e-05;0.557694430224021],4985,0.000550410217170942,0.0162345212554341
-1.73684210526316,[0;0.001544966319957086],[0;1],hill,1,5668,[2.81839225308143e-05;0.557692508293566],4985,0.000550459875867209,0.0162595449447864
-1.73684210526316,[0;0.001568945939400249],[0;1],linear,NaN,5669,[2.96537148204027e-05;0.553872948860482],5251,0.000580069226260082,0.0163452417560807
-1.73684210526316,[0;0.001568945939400249],[0;1],hill,1,5670,[2.96637917943691e-05;0.553872161415638],5251,0.000580248889256318,0.0163688687427698
-1.73684210526316,[0;0.001593297749577417],[0;1],linear,NaN,5671,[3.13617426694452e-05;0.55004479236987],5553,0.000614160051934859,0.0164576804161486
-1.73684210526316,[0;0.001593297749577417],[0;1],hill,1,5672,[3.13766509590306e-05;0.550044571010097],5553,0.000614425102168838,0.0164805813959443
-1.73684210526316,[0;0.001618027527308478],[0;1],linear,NaN,5673,[3.33058026934718e-05;0.546210384899961],5900,0.000652713371967843,0.0165718646447578
-1.73684210526316,[0;0.001618027527308478],[0;1],hill,1,5674,[3.33294521382875e-05;0.54620847802227],5900,0.000653135574041972,0.0165946393025162
-1.73684210526316,[0;0.001643141139076078],[0;1],linear,NaN,5675,[3.55926022469897e-05;0.542370098911832],6302,0.000697644357800129,0.0166878222732501
-1.73684210526316,[0;0.001643141139076078],[0;1],hill,1,5676,[3.55703583465593e-05;0.542368902740787],6303,0.000697250776174982,0.0167107828870486
-1.73684210526316,[0;0.001668644542417289],[0;1],linear,NaN,5677,[3.82873520835864e-05;0.53852433272956],6774,0.00075012473896943,0.0168055814322034
-1.73684210526316,[0;0.001668644542417289],[0;1],hill,1,5678,[3.82770858317354e-05;0.538528133007184],6775,0.000749937885944797,0.01683223280746
